5S_rRNA	0.6	0	0	2	2	0	0	0	3	0.6
7SK	1	43	40	137	9	56	54	362	106	194
A1BG	0.9	0.3	0.5	0.7	2	0.6	0.8	1	0.1	1
A1BG-AS1	5	3	6	5	10	5	4	6	1	3
A2M	0.3	0	0	0	0	0.5	0.1	2	2	0.5
A2M-AS1	0.6	0	0	0.2	0.1	0	0	2	0	0.1
A2ML1	0	0	0	0	0.1	0	0.3	0.1	0.1	0.3
A2ML1-AS1	0	0	0	0	0	0	0.2	0	0	0
A2ML1-AS2	0.5	1	0.4	0	0.8	0	0	0.3	0.2	0.4
A2MP1	0.1	0	0	0.1	0	0	0.1	0	0	0.1
A3GALT2	0.2	0	0	0	0.3	0	0.2	0	0	0.2
A4GALT	19	0.2	0.9	23	0	0.2	0.1	23	0	0.2
A4GNT	0	0	0	0	0	0	0.1	0.2	0	0.6
AAAS	46	54	58	45	91	57	46	41	54	44
AACS	6	14	12	6	8	5	6	9	4	4
AACSP1	0	0	1	0.1	0.1	0	0	0.4	0	0.1
AADAC	0.1	0	0	0	0	0	0	0	0	0
AADACL2-AS1	0.1	0	0	0	0	0	0.3	0.2	0.1	0
AADACL4	0	0	0	0	0.1	0	0.1	0	0	0.1
AADACP1	0.3	0	0	0	0	0	0	0	0.1	0
AADAT	8	0	0	0	19	0.1	0.1	1	0	50
AAGAB	84	62	83	79	94	90	27	32	62	30
AAK1	19	2	7	2	20	15	16	14	9	3
AAMDC	26	18	3	14	15	16	6	24	19	13
AAMP	236	103	158	88	155	109	134	139	143	64
AANAT	0.6	3	0.9	0.2	0.2	0.1	0.2	0.1	0.3	0.8
AAR2	58	50	78	41	69	51	53	59	59	43
AARD	18	0	0.1	0.1	2	0	0.3	2	0.1	0.1
AARS1	223	500	327	275	204	502	334	198	283	196
AARS2	38	30	25	21	67	33	30	71	41	37
AARSD1	12	11	10	11	22	10	19	11	6	22
AARSD1P1	1	0.2	0	0.4	0.8	1	0.3	0.3	0.2	0.1
AASDH	9	11	19	10	15	19	19	10	17	33
AASDHPPT	69	23	76	46	56	55	35	29	38	41
AASS	5	0	0.1	4	14	41	0.4	0.4	0.1	0.3
AATBC	0.4	0.9	2	0.8	1	0.6	4	8	0.6	6
AATF	98	128	134	110	79	89	78	73	103	68
AATK	0.4	0	0	0.1	0	0	0.1	5	11	2
ABALON	4	5	16	4	13	3	0.9	0.6	3	1
ABAT	0.4	5	4	3	7	7	1	4	0.9	1
ABCA1	2	2	0	2	0.4	2	22	19	0.4	0.1
ABCA10	0.7	0.2	0.2	0.1	0.2	0.3	0.6	0.6	1	0.2
ABCA11P	2	2	1	2	1	4	2	2	1	2
ABCA12	0.3	0.1	0.6	0	0.1	0.4	0.2	0.1	0	0.2
ABCA13	0.1	0.1	0	0.1	0.1	0.1	0.5	0.2	0	0.2
ABCA17P	0.7	0.1	0	0	0.6	0.1	0.5	1	0	0.2
ABCA2	5	0.3	2	4	8	18	10	74	142	4
ABCA3	13	0.3	0	0.6	1	0	6	15	0.2	4
ABCA4	0.1	0	0	0	0.5	0.1	0.1	0	0	0
ABCA5	8	0.6	2	3	2	0.1	4	3	0	0.1
ABCA6	0.1	3	0	2	0	0	0.6	0.1	0.2	0
ABCA7	2	4	14	17	23	5	10	22	16	8
ABCA8	0.1	0.1	0	2	0.1	0	0.1	0	0	0
ABCA9	0.1	0.1	0	0.1	0.2	2	0.4	0.1	2	0.1
ABCA9-AS1	0	0.1	0	0	0.1	0	0	0	0.1	0
ABCB1	0	0.1	28	0.5	0	0.4	0.1	0.2	0	9
ABCB10	41	44	25	24	107	97	111	64	35	45
ABCB10P1	0	0	0.1	0	0.1	0	0.2	0	0	0.2
ABCB10P3	0	0	0.1	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	1	0	0
